coord_x,coord_y,stress_yy,tau_xy
1.25, 1.2072960494909557, -36087.074911524476, 0.00000000003426903905811614 
1.25, 3.621888203478284, -36130.2435776878, -0.0000000002052832460163367 
1.25, 6.036480339130479, -36130.2435776878, -0.0000000003619996097385981 
1.25, 8.451072474782688, -36130.2435776878, 0.00000000018077790078633267 
1.25, 10.874769815040878, -28113.54061378239, -0.0000000005924182128541511 
1.25, 13.30802232605222, -27872.674032067083, -0.00000000022336017590866103 
1.25, 15.741265774668994, -27872.674032067083, 0.00000000034459853124520135 
1.25, 18.17450922328586, -27872.674032067083, 0.0000000003775599073113141 
1.25, 20.61597491367256, -20612.63092187369, 0.0000000006101545059786994 
1.25, 23.06789761027574, -19737.541830841477, 0.00000000032367272473021243 
1.25, 25.519980817705033, -19737.541830841477, -0.00000000011969821219119164 
1.25, 27.972064025134284, -19737.541830841477, -0.00000000037520635769133184 
1.25, 30.431307887813713, -13077.313584106263, -0.00000000009515396611800438 
1.25, 32.902379105717436, -11590.429964647781, -0.00000000035002512150491105 
1.25, 35.3736536798918, -11590.429964647781, 0.00000000029603154680877374 
1.25, 37.84492825406644, -11590.429964647781, 0.000000000018493382583783912 
1.25, 40.322444867278186, -5540.682731588848, 0.00000000032122799810689617 
1.25, 42.813951003481556, -3247.198030288167, 0.00000000004199953098616988 
1.25, 45.305598586302814, -3247.198030288279, 0.000000000036917492629154414 
1.25, 47.79724616912417, -3247.198030288279, -0.000000000004060683072100387 
3.75, 1.2072960494909557, -36087.07491152366, 0.00000000003408623811401935 
3.75, 3.6218882034782807, -36130.243577686204, -0.00000000012026236393493912 
3.75, 6.036480339130468, -36130.243577686204, -0.00000000009900387415670069 
3.75, 8.451072474782682, -36130.243577686204, -0.00000000013362201207424158 
3.75, 10.874769815040878, -28113.540613783633, -0.0000000005846917277203858 
3.75, 13.308022326052223, -27872.674032067833, 0.000000000022264928578521817 
3.75, 15.741265774668994, -27872.674032067833, 0.00000000026306047143967456 
3.75, 18.174509223285863, -27872.674032067833, -0.00000000001614561639579104 
3.75, 20.615974913672563, -20612.630921872722, 0.00000000030981867336896554 
3.75, 23.06789761027574, -19737.54183084082, 0.00000000026365436785393175 
3.75, 25.51998081770504, -19737.54183084082, 0.0000000001311884905359715 
3.75, 27.972064025134266, -19737.54183084082, -0.00000000009385681386791042 
3.75, 30.43130788781371, -13077.313584105852, -0.0000000005655063674055336 
3.75, 32.90237910571744, -11590.429964648538, -0.00000000037401557564560573 
3.75, 35.37365367989181, -11590.429964648538, -0.00000000015949764837804533 
3.75, 37.844928254066446, -11590.429964648538, 0.00000000043681096655499525 
3.75, 40.322444867278186, -5540.68273158879, 0.00000000030500372339233077 
3.75, 42.81395100348157, -3247.1980302895167, 0.00000000022343170162277169 
3.75, 45.30559858630282, -3247.1980302895167, 0.00000000015581128962447374 
3.75, 47.79724616912415, -3247.1980302895167, -0.00000000014621881801140218 
6.25, 1.207296049490955, -36087.07491152422, 0.000000000034139919043134144 
6.25, 3.6218882034782816, -36130.24357768647, -0.0000000002363573118564677 
6.25, 6.0364803391304624, -36130.24357768647, -0.0000000003720619881292868 
6.25, 8.451072474782679, -36130.24357768647, -0.0000000004941165284512228 
6.25, 10.874769815040894, -28113.540613781097, -0.0000000005903202247136971 
6.25, 13.308022326052226, -27872.674032069128, -0.000000000036396362580301145 
6.25, 15.741265774669, -27872.674032069128, 0.000000000041160964442634935 
6.25, 18.174509223285877, -27872.674032069128, 0.0000000005660945505209685 
6.25, 20.615974913672556, -20612.630921872667, 0.0000000004490087404698982 
6.25, 23.06789761027575, -19737.541830841426, 0.0000000004424303372371514 
6.25, 25.519980817705033, -19737.541830841426, -0.00000000004892809355011455 
6.25, 27.97206402513426, -19737.541830841426, -0.00000000010551846816282781 
6.25, 30.431307887813706, -13077.313584106263, -0.00000000017874203878440795 
6.25, 32.90237910571743, -11590.429964648889, -0.0000000003769368840674998 
6.25, 35.37365367989181, -11590.429964648889, -0.0000000002250759500779656 
6.25, 37.84492825406646, -11590.429964648889, 0.0000000003388286501647214 
6.25, 40.32244486727821, -5540.68273158896, 0.00000000009732680365756558 
6.25, 42.81395100348154, -3247.198030290192, 0.0000000003347379652431968 
6.25, 45.30559858630284, -3247.198030290192, -0.00000000013922640592977862 
6.25, 47.79724616912417, -3247.198030290192, 0.00000000008997633814710747 
8.75, 1.207296049490955, -36087.07491152542, 0.00000000003415955825903153 
8.75, 3.621888203478283, -36130.24357768743, -0.00000000009802104805094795 
8.75, 6.036480339130473, -36130.24357768743, -0.00000000037241723462087296 
8.75, 8.451072474782677, -36130.24357768743, -0.0000000005085078357495006 
8.75, 10.874769815040889, -28113.540613782876, -0.0000000006272982845286151 
8.75, 13.308022326052239, -27872.674032068087, -0.0000000003303626871916638 
8.75, 15.741265774669008, -27872.674032068087, -0.00000000022251433906905344 
8.75, 18.174509223285884, -27872.674032068087, -0.00000000003371069400834712 
8.75, 20.615974913672545, -20612.63092187242, 0.00000000045225119683991625 
8.75, 23.067897610275757, -19737.541830839444, 0.000000000547032863863778 
8.75, 25.51998081770502, -19737.541830839444, -0.00000000003096943524442376 
8.75, 27.97206402513426, -19737.541830839444, -0.00000000010538951597159532 
8.75, 30.43130788781369, -13077.313584105792, -0.00000000028670333895679144 
8.75, 32.9023791057174, -11590.429964649233, -0.0000000003293936156735276 
8.75, 35.37365367989182, -11590.429964649233, -0.00000000022492751824333226 
8.75, 37.84492825406647, -11590.429964649233, -0.00000000009303801249761359 
8.75, 40.32244486727822, -5540.682731589698, 0.0000000002963846080529097 
